week,player,mentions,sent_mean,sent_pos_share
24,Cooper Flagg,134,0.23506641791044774,0.4626865671641791
24,Dylan Harper,144,0.18982916666666666,0.4236111111111111
24,Jayson Tatum,86,0.16564186046511628,0.3953488372093023
24,LeBron James,37,0.34309459459459457,0.6486486486486487
24,Luka Doncic,116,0.1551741379310345,0.41379310344827586
24,Mike Trout,94,0.17258510638297872,0.3723404255319149
24,Paige Bueckers,56,0.14596607142857146,0.35714285714285715
24,Paul Skenes,90,0.16386111111111112,0.37777777777777777
24,Roman Anthony,75,0.21547866666666668,0.5066666666666667
24,Ronald Acuna,59,0.1994135593220339,0.4406779661016949
24,Shohei Ohtani,127,0.18988267716535434,0.44881889763779526
24,Stephen Curry,56,0.1441625,0.32142857142857145
24,Victor Wembanyama,98,0.14985102040816325,0.3877551020408163
25,Bobby Witt,79,0.2573658227848101,0.5189873417721519
25,Caitlin Clark,110,0.19532363636363637,0.41818181818181815
25,Cooper Flagg,220,0.22086681818181816,0.45454545454545453
25,Dylan Harper,223,0.20087488789237667,0.40358744394618834
25,Jayson Tatum,112,0.1810294642857143,0.4107142857142857
25,LeBron James,64,0.2426015625,0.40625
25,Luka Doncic,181,0.1650038674033149,0.39226519337016574
25,Mike Trout,120,0.20788583333333335,0.4083333333333333
25,Paige Bueckers,95,0.2613673684210526,0.5052631578947369
25,Paul Skenes,97,0.13518659793814433,0.36082474226804123
25,Roman Anthony,112,0.21852767857142857,0.45535714285714285
25,Ronald Acuna,97,0.17784845360824741,0.41237113402061853
25,Shohei Ohtani,211,0.20695545023696682,0.44075829383886256
25,Stephen Curry,69,0.1713376811594203,0.4057971014492754
25,Victor Wembanyama,139,0.18071870503597123,0.41007194244604317
